序号,帧ID,时间标识,类型,报文描述,报文内容,长度,数据(Hex)
344,0x1812F456,54:23.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x49 09 A0 0F 00 00 FD FF ),8,49 09 A0 0F 00 00 FD FF 
345,0x181056F4,54:23.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
346,0x1812F456,54:23.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x49 09 A0 0F 00 00 FD FF ),8,49 09 A0 0F 00 00 FD FF 
347,0x181056F4,54:23.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
348,0x1812F456,54:23.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x49 09 A0 0F 00 00 FD FF ),8,49 09 A0 0F 00 00 FD FF 
349,0x181056F4,54:23.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
350,0x1CEC56F4,54:23.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
351,0x1CECF456,54:23.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
352,0x1CEB56F4,54:23.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
353,0x1CEB56F4,54:23.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
354,0x1CECF456,54:23.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
355,0x1812F456,54:23.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x49 09 A0 0F 00 00 FD FF ),8,49 09 A0 0F 00 00 FD FF 
356,0x181056F4,54:23.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
357,0x1812F456,54:23.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x49 09 A0 0F 00 00 FD FF ),8,49 09 A0 0F 00 00 FD FF 
358,0x181056F4,54:23.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
359,0x181356F4,54:23.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
360,0x1812F456,54:23.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x03 0E A0 0F 00 00 FD FF ),8,03 0E A0 0F 00 00 FD FF 
361,0x181056F4,54:23.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
362,0x1812F456,54:23.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x03 0E A0 0F 00 00 FD FF ),8,03 0E A0 0F 00 00 FD FF 
363,0x181056F4,54:23.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
364,0x1812F456,54:23.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x03 0E A0 0F 00 00 FD FF ),8,03 0E A0 0F 00 00 FD FF 
365,0x181056F4,54:23.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
366,0x1CEC56F4,54:23.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
367,0x1CECF456,54:23.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
368,0x1CEB56F4,54:23.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
369,0x1CEB56F4,54:23.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
370,0x1CECF456,54:23.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
371,0x1812F456,54:23.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x03 0E A0 0F 00 00 FD FF ),8,03 0E A0 0F 00 00 FD FF 
372,0x181056F4,54:23.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
373,0x1812F456,54:24.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x03 0E A0 0F 00 00 FD FF ),8,03 0E A0 0F 00 00 FD FF 
374,0x181056F4,54:24.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
375,0x181356F4,54:24.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
376,0x1812F456,54:24.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x03 0E A0 0F 00 00 FD FF ),8,03 0E A0 0F 00 00 FD FF 
377,0x181056F4,54:24.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
378,0x1812F456,54:24.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x03 0E A0 0F 00 00 FD FF ),8,03 0E A0 0F 00 00 FD FF 
379,0x181056F4,54:24.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
380,0x1812F456,54:24.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x03 0E A0 0F 00 00 FD FF ),8,03 0E A0 0F 00 00 FD FF 
381,0x181056F4,54:24.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
382,0x1CEC56F4,54:24.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
383,0x1CECF456,54:24.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
384,0x1CEB56F4,54:24.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
385,0x1CEB56F4,54:24.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
386,0x1CECF456,54:24.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
387,0x1812F456,54:24.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA7 12 A0 0F 00 00 FD FF ),8,A7 12 A0 0F 00 00 FD FF 
388,0x181056F4,54:24.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
389,0x1812F456,54:24.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA7 12 A0 0F 00 00 FD FF ),8,A7 12 A0 0F 00 00 FD FF 
390,0x181056F4,54:24.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
391,0x181356F4,54:24.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
392,0x1812F456,54:24.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA7 12 A0 0F 00 00 FD FF ),8,A7 12 A0 0F 00 00 FD FF 
393,0x181056F4,54:24.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
394,0x1812F456,54:24.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA7 12 A0 0F 00 00 FD FF ),8,A7 12 A0 0F 00 00 FD FF 
395,0x181056F4,54:24.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
396,0x1812F456,54:24.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA7 12 A0 0F 00 00 FD FF ),8,A7 12 A0 0F 00 00 FD FF 
397,0x181056F4,54:24.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
398,0x1CEC56F4,54:24.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
399,0x1CECF456,54:24.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
400,0x1CEB56F4,54:24.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
401,0x1CEB56F4,54:24.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
402,0x1CECF456,54:24.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
403,0x1812F456,54:24.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA7 12 A0 0F 00 00 FD FF ),8,A7 12 A0 0F 00 00 FD FF 
404,0x181056F4,54:24.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
405,0x1812F456,54:24.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA7 12 A0 0F 00 00 FD FF ),8,A7 12 A0 0F 00 00 FD FF 
406,0x181056F4,54:24.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
407,0x181356F4,54:24.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
408,0x1812F456,54:24.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA7 12 A0 0F 00 00 FD FF ),8,A7 12 A0 0F 00 00 FD FF 
409,0x181056F4,54:24.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
410,0x1812F456,54:24.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xC5 14 A0 0F 00 00 FD FF ),8,C5 14 A0 0F 00 00 FD FF 
411,0x181056F4,54:24.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
412,0x181056F4,54:24.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
413,0x1812F456,54:24.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xC5 14 A0 0F 00 00 FD FF ),8,C5 14 A0 0F 00 00 FD FF 
414,0x1CEC56F4,54:24.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
415,0x1CECF456,54:24.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
416,0x1CEB56F4,54:24.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
417,0x1CEB56F4,54:24.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
418,0x1CECF456,54:24.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
419,0x1812F456,54:24.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xC5 14 A0 0F 00 00 FD FF ),8,C5 14 A0 0F 00 00 FD FF 
420,0x181056F4,54:24.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
421,0x181056F4,54:24.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
422,0x1812F456,54:24.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xC5 14 A0 0F 00 00 FD FF ),8,C5 14 A0 0F 00 00 FD FF 
423,0x181356F4,54:24.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
424,0x181056F4,54:24.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
425,0x1812F456,54:24.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xC5 14 A0 0F 00 00 FD FF ),8,C5 14 A0 0F 00 00 FD FF 
426,0x181056F4,54:24.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
427,0x1812F456,54:24.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xC5 14 A0 0F 00 00 FD FF ),8,C5 14 A0 0F 00 00 FD FF 
428,0x181056F4,54:24.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
429,0x1812F456,54:24.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xC5 14 A0 0F 00 00 FD FF ),8,C5 14 A0 0F 00 00 FD FF 
430,0x1CEC56F4,54:24.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
431,0x1CECF456,54:24.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
432,0x1CEB56F4,54:24.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 89 0F 73 11 61 ),8,01 26 13 89 0F 73 11 61 
433,0x1CEB56F4,54:24.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 0D 00 FF FF FF FF FF ),8,02 0D 00 FF FF FF FF FF 
434,0x1CECF456,54:24.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
435,0x181056F4,54:24.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
436,0x1812F456,54:24.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xC5 14 A0 0F 00 00 FD FF ),8,C5 14 A0 0F 00 00 FD FF 
